n,h
1069,3379.7272727272725
1070,3383.5
1071,3386.0
1072,3391.714285714286
1073,3394.0
1074,3398.6153846153848
1075,3398.6153846153848
1076,3407.0
1077,3409.0
1078,3409.0
1079,3409.0
1080,3422.0
1081,3423.818181818182
1082,3426.0833333333335
1083,3437.4285714285716
1084,3437.4285714285716
1085,3441.6875
1086,3441.6875
1087,3441.8571428571427
1088,3451.470588235294
1089,3451.470588235294
1090,3456.125
1091,3465.1739130434785
1092,3465.1739130434785
1093,3465.1739130434785
1094,3466.714285714286
1095,3472.8571428571427
1096,3480.222222222222
1097,3480.222222222222
1098,3484.375
1099,3484.5833333333335
1100,3484.6666666666665
1101,3492.4
1102,3492.4285714285716
1103,3510.2727272727275
1104,3510.2727272727275
1105,3511.0
1106,3512.7272727272725
1107,3518.5714285714284
1108,3520.6
1109,3522.8947368421054
1110,3522.8947368421054
1111,3530.1052631578946
1112,3530.1052631578946
1113,3537.35
1114,3537.35
1115,3542.222222222222
1116,3550.875
1117,3550.875
1118,3550.875
1119,3550.875
1120,3559.3333333333335
1121,3559.3333333333335
1122,3559.3333333333335
1123,3567.3
1124,3571.6363636363635
1125,3581.5
1126,3585.7741935483873
1127,3585.7741935483873
1128,3585.7741935483873
1129,3585.7741935483873
1130,3598.8
1131,3598.8
1132,3606.0
1133,3607.2727272727275
1134,3607.2727272727275
1135,3612.25
1136,3622.9545454545455
1137,3622.9545454545455
1138,3624.875
1139,3624.875
1140,3624.875
1141,3635.1176470588234
1142,3635.1176470588234
1143,3644.1875
1144,3644.1875
1145,3648.8
1146,3654.4444444444443
1147,3659.3571428571427
1148,3659.3571428571427
1149,3659.3571428571427
1150,3673.0454545454545
1151,3673.0454545454545
1152,3673.0454545454545
1153,3675.4
1154,3681.75
1155,3685.6666666666665
1156,3686.8571428571427
1157,3689.0
1158,3693.8333333333335
1159,3699.1428571428573
1160,3701.875
1161,3706.0833333333335
1162,3706.0833333333335
1163,3706.0833333333335
1164,3714.9411764705883
1165,3714.9411764705883
1166,3720.3571428571427
1167,3720.3571428571427
1168,3734.0
1169,3734.375
1170,3735.2
1171,3744.090909090909
1172,3749.75
1173,3752.40625
1174,3752.40625
1175,3752.40625
1176,3752.40625
1177,3763.40625
1178,3763.40625
1179,3763.40625
1180,3770.5
1181,3772.2
1182,3778.5
1183,3779.0
1184,3779.0
1185,3791.5
1186,3804.7727272727275
1187,3804.7727272727275
1188,3804.7727272727275
1189,3804.7727272727275
1190,3809.75
1191,3809.75
1192,3816.125
1193,3816.125
1194,3817.625
1195,3822.285714285714
1196,3822.6666666666665
1197,3826.5384615384614
1198,3826.5384615384614
1199,3833.0
1200,3833.0
1201,3844.3
1202,3849.4285714285716
1203,3849.4285714285716
1204,3856.3
1205,3857.4285714285716
1206,3867.0
1207,3867.0
1208,3868.875
1209,3869.3636363636365
1210,3874.6
1211,3884.137931034483
1212,3884.137931034483
1213,3884.137931034483
1214,3890.1111111111113
1215,3895.4444444444443
1216,3895.4444444444443
1217,3903.46875
1218,3903.46875
1219,3903.46875
1220,3916.0
1221,3918.0
1222,3920.529411764706
1223,3920.529411764706
1224,3925.8125
1225,3925.8125
1226,3926.090909090909
1227,3934.2
1228,3937.0
1229,3947.5714285714284
1230,3953.0
1231,3953.0714285714284
1232,3953.0714285714284
1233,3960.4736842105262
1234,3960.4736842105262
1235,3963.6666666666665
1236,3974.176470588235
1237,3974.176470588235
1238,3977.714285714286
1239,3981.0
1240,3990.409090909091
1241,3990.409090909091
1242,3990.409090909091
1243,3997.1
1244,3997.1
1245,4004.28
1246,4004.28
1247,4007.1428571428573
1248,4012.0
1249,4018.4285714285716
1250,4018.4285714285716
1251,4029.0555555555557
1252,4029.0555555555557
1253,4032.6666666666665
1254,4034.125
1255,4036.6666666666665
1256,4036.6666666666665
1257,4046.25
1258,4053.875
1259,4056.9166666666665
1260,4056.9166666666665
1261,4056.9166666666665
1262,4067.8684210526317
1263,4067.8684210526317
1264,4067.8684210526317
1265,4067.8684210526317
1266,4073.714285714286
1267,4082.3478260869565
1268,4082.3478260869565
1269,4082.3478260869565
1270,4087.625
1271,4102.35294117647
1272,4102.35294117647
1273,4105.153846153846
1274,4109.25
1275,4111.714285714285
1276,4111.714285714285
1277,4118.0
1278,4125.125
1279,4125.125
1280,4127.857142857143
1281,4140.666666666667
1282,4142.4
1283,4142.4
1284,4142.4
1285,4154.457142857143
1286,4154.457142857143
1287,4154.457142857143
1288,4154.457142857143
1289,4154.457142857143
1290,4156.923076923077
1291,4156.923076923077
1292,4170.055555555556
1293,4170.055555555556
1294,4178.333333333333
1295,4182.5
1296,4183.545454545455
1297,4193.555555555556
1298,4200.0
1299,4200.0
1300,4204.592592592592
1301,4204.592592592592
1302,4204.592592592592
1303,4208.0
1304,4216.235294117647
1305,4216.235294117647
1306,4223.04347826087
1307,4223.04347826087
1308,4223.04347826087
1309,4239.878787878788
1310,4239.878787878788
1311,4239.878787878788
1312,4242.714285714285
1313,4244.25
1314,4246.142857142857
1315,4250.555555555556
1316,4256.916666666667
1317,4266.263157894737
1318,4266.263157894737
1319,4270.666666666667
1320,4270.666666666667
1321,4270.666666666667
1322,4270.666666666667
1323,4277.2
1324,4284.7
1325,4284.7
1326,4295.178571428572
1327,4295.178571428572
